Student_Names,Course_Recommendation,CourseCode,ListofCourses,RatingOfCourses
Sad Boy Tiwari,"07_CSBS, 19_MECH, 27_DTE",,,
Sayoni Yadav,Better luck next time,,,
Vk Devi,"05_CSECS, 32_BC, 36_BSP",,,
Pankaja Srivastav,Better luck next time,,,
Ravendra Rajput,Better luck next time,,,
राधे Singh,Better luck next time,,,
Ruata Kumari,Better luck next time,,,
Subi Pratap,"28_METE, 29_TEXE, 31_POLE",,,
Susant Seth,"04_CSR, 24_PROD, 13_CE",,,
Ghanashyam Divedi,"05_CSECS, 32_BC, 36_BSP",,,
Rambeer Rajput,Better luck next time,,,
Shreyashi Seth,"28_METE, 29_TEXE, 31_POLE",,,
विनोद Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Misty Devi,Better luck next time,,,
Diwan Singh Rajput,Better luck next time,,,
Ainl Mishra,"02_CSAI, 32_BC, 35_BSC",,,
Surendrasingh Rai,"28_METE, 29_TEXE, 31_POLE",,,
Jhilik Sonkar,"05_CSECS, 32_BC, 36_BSP",,,
Avijit Srivastav,Better luck next time,,,
Sikandar Srivastav,"07_CSBS, 19_MECH, 27_DTE",,,
Ziyaul Tiwari,"28_METE, 29_TEXE, 31_POLE",,,
Sudheer Pandey,"02_CSAI, 32_BC, 35_BSC",,,
Talib Tiwari,"01_CSE, 08_ESE, 22_EEE",,,
Salman Tiwari,Better luck next time,,,
राधे Mishra,Better luck next time,,,
Sangeetha Rai,"04_CSR, 24_PROD, 13_CE",,,
Santosini Divedi,"05_CSECS, 32_BC, 36_BSP",,,
Govind Kumar Pandey,"02_CSAI, 32_BC, 35_BSC",,,
Sanjay Pandey,"28_METE, 29_TEXE, 31_POLE",,,
Hemant Singh Rao,"09_ECE, 23_AEE, 26_AGRE",,,
Ahir Devi,"05_CSECS, 32_BC, 36_BSP",,,
Sathik Rai,Better luck next time,,,
Sikandr Sonkar,Better luck next time,,,
Deepi Rai,"05_CSECS, 32_BC, 36_BSP",,,
Rajeah Vishwakarma,"28_METE, 29_TEXE, 31_POLE",,,
Dayalu Rajput,Better luck next time,,,
Jayparkash Yadav,Better luck next time,,,
Istikhar Rajput,Better luck next time,,,
Lizza Rao,"02_CSAI, 32_BC, 35_BSC",,,
Karunesh Divedi,"28_METE, 29_TEXE, 31_POLE",,,
Tilak Vishwakarma,"04_CSR, 24_PROD, 13_CE",,,
Dabu Rai,"05_CSECS, 32_BC, 36_BSP",,,
Durges Pratap,Better luck next time,,,
Afzal Divedi,Better luck next time,,,
Prinka Seth,Better luck next time,,,
Vinod Singh Vishwakarma,Better luck next time,,,
Saket Rajput,"07_CSBS, 19_MECH, 27_DTE",,,
Rajip Vishwakarma,Better luck next time,,,
Hrushi Mishra,"28_METE, 29_TEXE, 31_POLE",,,
Nirmla Sonkar,Better luck next time,,,
Alifiya Singh,"07_CSBS, 19_MECH, 27_DTE",,,
Jhasketan Mishra,Better luck next time,,,
Satvik Pandey,Better luck next time,,,
Ruchir Maurrya,Better luck next time,,,
Pot Thakur,Better luck next time,,,
தளபதி Thakur,Better luck next time,,,
Naik Srivastav,Better luck next time,,,
Mangal Vishwakarma,"04_CSR, 24_PROD, 13_CE",,,
Sharik Mishra,"04_CSR, 24_PROD, 13_CE",,,
Apsar Kumar,Better luck next time,,,
Vishnu Singh Gupta,"02_CSAI, 32_BC, 35_BSC",,,
Krishana Rajput,"04_CSR, 24_PROD, 13_CE",,,
Arjun Raj Srivastav,Better luck next time,,,
Mona Divedi,"07_CSBS, 19_MECH, 27_DTE",,,
Kanchu Yadav,Better luck next time,,,
Suroj Singh,"09_ECE, 23_AEE, 26_AGRE",,,
Jitesh Rao,Better luck next time,,,
Paresha Singh,Better luck next time,,,
Meren Sonkar,"04_CSR, 24_PROD, 13_CE",,,
Md Sagir Rajput,"04_CSR, 24_PROD, 13_CE",,,
Sharmistha Gupta,Better luck next time,,,
Kalpana Mishra,Better luck next time,,,
Nekram Rai,"28_METE, 29_TEXE, 31_POLE",,,
Pranab Jyoti Kumari,"28_METE, 29_TEXE, 31_POLE",,,
Aleena Sonkar,"07_CSBS, 19_MECH, 27_DTE",,,
Rd Vishwakarma,Better luck next time,,,
Suram Mishra,"02_CSAI, 32_BC, 35_BSC",,,
Jigo Srivastav,Better luck next time,,,
Vishu Vishwakarma,"28_METE, 29_TEXE, 31_POLE",,,
Kale Pandey,Better luck next time,,,
Chand Babu Rao,"28_METE, 29_TEXE, 31_POLE",,,
Raushan Raj Tiwari,Better luck next time,,,
Sawar Kumari,Better luck next time,,,
Subarna Gupta,"07_CSBS, 19_MECH, 27_DTE",,,
Muniraj Rai,"07_CSBS, 19_MECH, 27_DTE",,,
Shivi Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Chinnasamy Seth,Better luck next time,,,
Parmanand Gupta,"02_CSAI, 32_BC, 35_BSC",,,
Raghavan Rajput,Better luck next time,,,
Halappa Rao,"02_CSAI, 32_BC, 35_BSC",,,
लखन Rao,Better luck next time,,,
Gunnu Thakur,Better luck next time,,,
Madhaw Sonkar,"05_CSECS, 32_BC, 36_BSP",,,
Harishchand Pandey,"28_METE, 29_TEXE, 31_POLE",,,
Maharaja Pratap,Better luck next time,,,
Dhruvil Sonkar,"15_CHE, 16_BIOE, 25_FPT",,,
Ringkhang Srivastav,"28_METE, 29_TEXE, 31_POLE",,,
Ramnandan Thakur,"04_CSR, 24_PROD, 13_CE",,,
Kunja Srivastav,"07_CSBS, 19_MECH, 27_DTE",,,
Ajayraj Pratap,"28_METE, 29_TEXE, 31_POLE",,,
Aboli Divedi,"28_METE, 29_TEXE, 31_POLE",,,
Fazlu Gupta,Better luck next time,,,
Sahera Tiwari,"02_CSAI, 32_BC, 35_BSC",,,
Palash Rajput,"07_CSBS, 19_MECH, 27_DTE",,,
Satyajit Thakur,Better luck next time,,,
Mantesh Divedi,"28_METE, 29_TEXE, 31_POLE",,,
Ramachal Divedi,"28_METE, 29_TEXE, 31_POLE",,,
Sahi Rajput,Better luck next time,,,
Sukhbeer Rajput,"28_METE, 29_TEXE, 31_POLE",,,
Mirajul Gupta,Better luck next time,,,
Kulbhushan Divedi,"15_CHE, 16_BIOE, 25_FPT",,,
Bably Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Vishaka Yadav,"05_CSECS, 32_BC, 36_BSP",,,
Dhanmani Divedi,Better luck next time,,,
Vinod Yadav Seth,"07_CSBS, 19_MECH, 27_DTE",,,
Ragini Vishwakarma,"04_CSR, 24_PROD, 13_CE",,,
Sushanta Divedi,"28_METE, 29_TEXE, 31_POLE",,,
Aariz Rai,"05_CSECS, 32_BC, 36_BSP",,,
Muddassir Gupta,Better luck next time,,,
Bachan Tiwari,Better luck next time,,,
Imrankhan Rai,"05_CSECS, 32_BC, 36_BSP",,,
Mithan Pandey,Better luck next time,,,
Sohidul Seth,Better luck next time,,,
Md Izhar Pandey,Better luck next time,,,
Kundan Raj Pratap,"07_CSBS, 19_MECH, 27_DTE",,,
Aadit Rajput,"05_CSECS, 32_BC, 36_BSP",,,
Narayanlal Maurrya,"28_METE, 29_TEXE, 31_POLE",,,
Chitraketu Singh,Better luck next time,,,
Maheshwari Kumar,Better luck next time,,,
Bidisha Vishwakarma,"07_CSBS, 19_MECH, 27_DTE",,,
Hmangaiha Devi,Better luck next time,,,
Ponam Mishra,Better luck next time,,,
Neyaz Tiwari,"05_CSECS, 32_BC, 36_BSP",,,
Protima Rajput,"07_CSBS, 19_MECH, 27_DTE",,,
Ramkishor Vishwakarma,"28_METE, 29_TEXE, 31_POLE",,,
Dharma Sonkar,Better luck next time,,,
रवि कुमार Srivastav,"02_CSAI, 32_BC, 35_BSC",,,
Jaganathan Yadav,Better luck next time,,,
देविदास Tiwari,"09_ECE, 23_AEE, 26_AGRE",,,
Nanhelal Rajput,"07_CSBS, 19_MECH, 27_DTE",,,
Guljar Divedi,"02_CSAI, 32_BC, 35_BSC",,,
Shreeya Divedi,Better luck next time,,,
Aquil Seth,"05_CSECS, 32_BC, 36_BSP",,,
Radhakishan Gupta,Better luck next time,,,
Rambha Mishra,"15_CHE, 16_BIOE, 25_FPT",,,
Gulshad Vishwakarma,Better luck next time,,,
Kamalkishor Pandit,Better luck next time,,,
Pappu Singh Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Riku Yadav,Better luck next time,,,
Nilamani Srivastav,Better luck next time,,,
Smrutiranjan Pandit,Better luck next time,,,
Roshan Kumar Devi,Better luck next time,,,
Prameela Maurya,Better luck next time,,,
Shivangi Seth,Better luck next time,,,
Sukharam Gupta,"28_METE, 29_TEXE, 31_POLE",,,
Nihar Kumari,Better luck next time,,,
Assu Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Trinadh Sonkar,Better luck next time,,,
Dipeeka Divedi,Better luck next time,,,
Dass Tiwari,"02_CSAI, 32_BC, 35_BSC",,,
Shamser Rajput,Better luck next time,,,
Sajan Kumar Seth,Better luck next time,,,
Vedi Pandey,Better luck next time,,,
Samaun Devi,"28_METE, 29_TEXE, 31_POLE",,,
Bhaliya Mishra,"15_CHE, 16_BIOE, 25_FPT",,,
Manjula Yadav,Better luck next time,,,
Sarvesh Kumar Pandit,"28_METE, 29_TEXE, 31_POLE",,,
Asha Srivastav,"28_METE, 29_TEXE, 31_POLE",,,
Rajjan Seth,Better luck next time,,,
Savara Devi,"28_METE, 29_TEXE, 31_POLE",,,
Tohit Pandit,"07_CSBS, 19_MECH, 27_DTE",,,
Jeevitha Divedi,Better luck next time,,,
Irshad Rajput,Better luck next time,,,
Anu Vishwakarma,Better luck next time,,,
Mursid Tiwari,"02_CSAI, 32_BC, 35_BSC",,,
Prafula Thakur,"28_METE, 29_TEXE, 31_POLE",,,
Rambahadur Kumar,"07_CSBS, 19_MECH, 27_DTE",,,
Krish Rao,Better luck next time,,,
Urvi Singh,"07_CSBS, 19_MECH, 27_DTE",,,
Parvat Kumar,Better luck next time,,,
Jivan Rai,"28_METE, 29_TEXE, 31_POLE",,,
Shobhna Rai,"15_CHE, 16_BIOE, 25_FPT",,,
Snjay Vishwakarma,"07_CSBS, 19_MECH, 27_DTE",,,
Kola Srivastav,"28_METE, 29_TEXE, 31_POLE",,,
Marees Thakur,"01_CSE, 08_ESE, 22_EEE",,,
Giridhar Mishra,Better luck next time,,,
Sujeet Kumari,"28_METE, 29_TEXE, 31_POLE",,,
Sharana Singh,"28_METE, 29_TEXE, 31_POLE",,,
Hem Raj Pandit,Better luck next time,,,
Daevi Maurya,Better luck next time,,,
Md Faizan Pandey,"28_METE, 29_TEXE, 31_POLE",,,
Satheeshkumar Kumari,"07_CSBS, 19_MECH, 27_DTE",,,
Tejsingh Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Suranjan Pandit,"09_ECE, 23_AEE, 26_AGRE",,,
Yash Raj Kumari,"05_CSECS, 32_BC, 36_BSP",,,
Yamanappa Rai,"04_CSR, 24_PROD, 13_CE",,,
Amlesh Tiwari,"28_METE, 29_TEXE, 31_POLE",,,
Appy Pandey,Better luck next time,,,
Subrahmanyam Singh,Better luck next time,,,
Bind Rao,"07_CSBS, 19_MECH, 27_DTE",,,
Samima Kumar,"02_CSAI, 32_BC, 35_BSC",,,
Shrusti Rajput,"28_METE, 29_TEXE, 31_POLE",,,
Konkana Singh,"02_CSAI, 32_BC, 35_BSC",,,
Bhagyaraj Mishra,"07_CSBS, 19_MECH, 27_DTE",,,
Jayadev Rao,"28_METE, 29_TEXE, 31_POLE",,,
Govinda Singh,"28_METE, 29_TEXE, 31_POLE",,,
Gourishankar Gupta,Better luck next time,,,
Inamul Rai,Better luck next time,,,
Tanisha Sonkar,"02_CSAI, 32_BC, 35_BSC",,,
Devji Thakur,"28_METE, 29_TEXE, 31_POLE",,,
Chandidaas Gupta,"05_CSECS, 32_BC, 36_BSP",,,
Reyansh Thakur,Better luck next time,,,
Lakshan Vishwakarma,"28_METE, 29_TEXE, 31_POLE",,,
Akbor Singh,Better luck next time,,,
Ravneet Pratap,"28_METE, 29_TEXE, 31_POLE",,,
Khemu Gupta,"28_METE, 29_TEXE, 31_POLE",,,
Bhagbat Divedi,"28_METE, 29_TEXE, 31_POLE",,,
Roshid Mishra,"04_CSR, 24_PROD, 13_CE",,,
Rifa Vishwakarma,"05_CSECS, 32_BC, 36_BSP",,,
Paras Thakur,Better luck next time,,,
Dewendra Gupta,"07_CSBS, 19_MECH, 27_DTE",,,
Roma Yadav,"07_CSBS, 19_MECH, 27_DTE",,,
Pragati Singh,"28_METE, 29_TEXE, 31_POLE",,,
Alagu Gupta,Better luck next time,,,
રાજેશ Kumar,Better luck next time,,,
Chetanaanand Devi,"28_METE, 29_TEXE, 31_POLE",,,
Yudhisthir Divedi,"28_METE, 29_TEXE, 31_POLE",,,
Bhausaheb Seth,"28_METE, 29_TEXE, 31_POLE",,,
Prayag Pandey,Better luck next time,,,
Lavanya Pandey,"07_CSBS, 19_MECH, 27_DTE",,,
Chitrada Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Rupnarayan Singh,"04_CSR, 24_PROD, 13_CE",,,
Parma Gupta,"07_CSBS, 19_MECH, 27_DTE",,,
पुजा Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Tabu Divedi,"28_METE, 29_TEXE, 31_POLE",,,
Chakali Maurrya,"28_METE, 29_TEXE, 31_POLE",,,
Malti Singh,"28_METE, 29_TEXE, 31_POLE",,,
Rabbani Singh,"28_METE, 29_TEXE, 31_POLE",,,
Sanjay Singh,"28_METE, 29_TEXE, 31_POLE",,,
Pankajini Divedi,Better luck next time,,,
Shyama Rajput,"02_CSAI, 32_BC, 35_BSC",,,
Hapijul Divedi,Better luck next time,,,
Ashadul Pratap,"04_CSR, 24_PROD, 13_CE",,,
Saminathan Divedi,Better luck next time,,,
Padmanav Rajput,Better luck next time,,,
Tarh Gupta,"04_CSR, 24_PROD, 13_CE",,,
Shivshankar Rai,"05_CSECS, 32_BC, 36_BSP",,,
Munmi Singh,"04_CSR, 24_PROD, 13_CE",,,
Md Kasim Srivastav,"02_CSAI, 32_BC, 35_BSC",,,
Sagun Singh,"02_CSAI, 32_BC, 35_BSC",,,
Hasmat Kumari,"28_METE, 29_TEXE, 31_POLE",,,
Roopsingh Pandey,Better luck next time,,,
Pyush Maurrya,"04_CSR, 24_PROD, 13_CE",,,
Asifkhan Gupta,"07_CSBS, 19_MECH, 27_DTE",,,
Yogesha Thakur,"04_CSR, 24_PROD, 13_CE",,,
Ramandeep Seth,Better luck next time,,,
Rajbha Pandit,"09_ECE, 23_AEE, 26_AGRE",,,
Seetu Gupta,Better luck next time,,,
Ato Rajput,Better luck next time,,,
Eslavath Pratap,Better luck next time,,,
Yudhishtar Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Santhi Kumar,Better luck next time,,,
Afiya Pratap,"04_CSR, 24_PROD, 13_CE",,,
Rajashree Rajput,"04_CSR, 24_PROD, 13_CE",,,
Ramzan Mishra,"02_CSAI, 32_BC, 35_BSC",,,
Ram Jee Divedi,"09_ECE, 23_AEE, 26_AGRE",,,
Biram Singh,"02_CSAI, 32_BC, 35_BSC",,,
Sakthivel Rai,Better luck next time,,,
Yogita Seth,"05_CSECS, 32_BC, 36_BSP",,,
बाळासाहेब Rajput,"28_METE, 29_TEXE, 31_POLE",,,
Rupen Maurrya,"07_CSBS, 19_MECH, 27_DTE",,,
Minni Kumari,Better luck next time,,,
Hminga Maurya,"09_ECE, 23_AEE, 26_AGRE",,,
Zara Khan Maurya,"28_METE, 29_TEXE, 31_POLE",,,
Mosaraf Sonkar,Better luck next time,,,
Chaitali Mishra,Better luck next time,,,
Ishwar Singh Maurrya,"28_METE, 29_TEXE, 31_POLE",,,
Rup Yadav,"05_CSECS, 32_BC, 36_BSP",,,
Dhan Kumar,Better luck next time,,,
Durganand Maurya,"07_CSBS, 19_MECH, 27_DTE",,,
H P Gupta,"28_METE, 29_TEXE, 31_POLE",,,
Sanjiv Kumar Mishra,"02_CSAI, 32_BC, 35_BSC",,,
Vikaram Rao,Better luck next time,,,
Bithika Vishwakarma,"28_METE, 29_TEXE, 31_POLE",,,
Shafi Rao,"28_METE, 29_TEXE, 31_POLE",,,
Er Rahul Gupta,"05_CSECS, 32_BC, 36_BSP",,,
Saurabh Kumar Seth,Better luck next time,,,
Sddam Kumari,"07_CSBS, 19_MECH, 27_DTE",,,
Haradhan Mishra,"05_CSECS, 32_BC, 36_BSP",,,
Jayalaxmi Rajput,"05_CSECS, 32_BC, 36_BSP",,,
Mahie Vishwakarma,"28_METE, 29_TEXE, 31_POLE",,,
Athing Kumar,Better luck next time,,,
Salai Sonkar,"05_CSECS, 32_BC, 36_BSP",,,
Maddela Divedi,"05_CSECS, 32_BC, 36_BSP",,,
Prawin Gupta,Better luck next time,,,
Devsingh Singh,Better luck next time,,,
Tejan Maurrya,Better luck next time,,,
Girdharilal Sonkar,Better luck next time,,,
Shadik Singh,"02_CSAI, 32_BC, 35_BSC",,,
Navab Pratap,Better luck next time,,,
विनय Rai,"28_METE, 29_TEXE, 31_POLE",,,
Variya Pandey,"28_METE, 29_TEXE, 31_POLE",,,
Tisha Pratap,"28_METE, 29_TEXE, 31_POLE",,,
Hunter Seth,"02_CSAI, 32_BC, 35_BSC",,,
Munchun Rai,Better luck next time,,,
Piryanka Seth,Better luck next time,,,
Nabal Divedi,"28_METE, 29_TEXE, 31_POLE",,,
Utpal Rao,Better luck next time,,,
Afzal Khan Rao,"28_METE, 29_TEXE, 31_POLE",,,
Rathan Gupta,"05_CSECS, 32_BC, 36_BSP",,,
Sonju Seth,Better luck next time,,,
Devendar Vishwakarma,"07_CSBS, 19_MECH, 27_DTE",,,
Shailendra Singh Rai,"28_METE, 29_TEXE, 31_POLE",,,
Jyotirmoy Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Jogeswar Yadav,Better luck next time,,,
Vindhyachal Rai,Better luck next time,,,
Mohd Divedi,"28_METE, 29_TEXE, 31_POLE",,,
Eshu Rajput,"05_CSECS, 32_BC, 36_BSP",,,
Sarup Seth,Better luck next time,,,
Alom Tiwari,Better luck next time,,,
Narayan Kumar Tiwari,"28_METE, 29_TEXE, 31_POLE",,,
Shivpratap Thakur,Better luck next time,,,
Pradeep Rai,Better luck next time,,,
Purobi Rao,"04_CSR, 24_PROD, 13_CE",,,
Samiran Singh,Better luck next time,,,
ईरफान Singh,"28_METE, 29_TEXE, 31_POLE",,,
Saifali Maurya,Better luck next time,,,
Dilkash Yadav,"02_CSAI, 32_BC, 35_BSC",,,
Perumal Kumari,"07_CSBS, 19_MECH, 27_DTE",,,
Peetam Rao,"05_CSECS, 32_BC, 36_BSP",,,
Meru Rai,"07_CSBS, 19_MECH, 27_DTE",,,
Shivnandan Pratap,Better luck next time,,,
Shamita Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Sanib Srivastav,Better luck next time,,,
Ritumoni Singh,"02_CSAI, 32_BC, 35_BSC",,,
Kundan Singh Rai,Better luck next time,,,
Atharv Sonkar,Better luck next time,,,
Ganapati Rai,"02_CSAI, 32_BC, 35_BSC",,,
Satyabrat Pandey,"04_CSR, 24_PROD, 13_CE",,,
Pardum Mishra,"04_CSR, 24_PROD, 13_CE",,,
Bitan Srivastav,"28_METE, 29_TEXE, 31_POLE",,,
Madev Tiwari,"05_CSECS, 32_BC, 36_BSP",,,
Mdalam Pandey,Better luck next time,,,
Bavya Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Gurjar Yadav,"07_CSBS, 19_MECH, 27_DTE",,,
Jaykumar Tiwari,"28_METE, 29_TEXE, 31_POLE",,,
Singar Thakur,"28_METE, 29_TEXE, 31_POLE",,,
Ramhari Devi,"28_METE, 29_TEXE, 31_POLE",,,
Pritam Singh Seth,Better luck next time,,,
Runali Singh,"04_CSR, 24_PROD, 13_CE",,,
Thartei Kumari,Better luck next time,,,
Ayansh Yadav,Better luck next time,,,
Venod Srivastav,"04_CSR, 24_PROD, 13_CE",,,
Bhima Mishra,Better luck next time,,,
Shreedhar Kumari,"28_METE, 29_TEXE, 31_POLE",,,
Rupa Kumari Thakur,"04_CSR, 24_PROD, 13_CE",,,
Shiekh Maurya,Better luck next time,,,
Sweeti Singh,Better luck next time,,,
Sathyaraj Thakur,Better luck next time,,,
Grish Pandit,"15_CHE, 16_BIOE, 25_FPT",,,
S Khan Rajput,"07_CSBS, 19_MECH, 27_DTE",,,
Keran Singh,Better luck next time,,,
Mahaveer Singh Mishra,Better luck next time,,,
Bhupendr Srivastav,Better luck next time,,,
Peeyush Sonkar,Better luck next time,,,
Boddu Sonkar,"04_CSR, 24_PROD, 13_CE",,,
Mandavi Thakur,Better luck next time,,,
Boopalan Rai,Better luck next time,,,
Pranjul Rao,"28_METE, 29_TEXE, 31_POLE",,,
Jenisha Divedi,Better luck next time,,,
Labh Sonkar,"02_CSAI, 32_BC, 35_BSC",,,
Sarathi Mishra,"04_CSR, 24_PROD, 13_CE",,,
Pushpraj Devi,"28_METE, 29_TEXE, 31_POLE",,,
Bhaanu Pandey,"28_METE, 29_TEXE, 31_POLE",,,
Jyotirmoy Sonkar,"07_CSBS, 19_MECH, 27_DTE",,,
Jenis Sonkar,"01_CSE, 08_ESE, 22_EEE",,,
Sawan Pratap,"28_METE, 29_TEXE, 31_POLE",,,
Bhavi Gupta,"28_METE, 29_TEXE, 31_POLE",,,
Apa Gupta,Better luck next time,,,
Lakshmikant Maurrya,"28_METE, 29_TEXE, 31_POLE",,,
Veru Pandey,Better luck next time,,,
Subesh Divedi,Better luck next time,,,
Sukhdeep Kumar,Better luck next time,,,
Makbul Maurya,Better luck next time,,,
Subba Pratap,"28_METE, 29_TEXE, 31_POLE",,,
Saba Gupta,Better luck next time,,,
Saddik Pandey,"15_CHE, 16_BIOE, 25_FPT",,,
Robiul Kumar,Better luck next time,,,
Gorelal Mishra,Better luck next time,,,
Tarulata Tiwari,"28_METE, 29_TEXE, 31_POLE",,,
Madhvi Srivastav,Better luck next time,,,
Er Abhishek Vishwakarma,Better luck next time,,,
Guddoo Rao,"28_METE, 29_TEXE, 31_POLE",,,
Usman Maurrya,"28_METE, 29_TEXE, 31_POLE",,,
Sumeet Rajput,"02_CSAI, 32_BC, 35_BSC",,,
Banty Mishra,Better luck next time,,,
Jhalak Pandey,Better luck next time,,,
Anil Raj Kumar,"28_METE, 29_TEXE, 31_POLE",,,
Sudarshan Sonkar,"28_METE, 29_TEXE, 31_POLE",,,
Gyanaranjan Rai,"02_CSAI, 32_BC, 35_BSC",,,
Harji Mishra,"04_CSR, 24_PROD, 13_CE",,,
सुरेन्द्र Yadav,"04_CSR, 24_PROD, 13_CE",,,
Chandan Seth,Better luck next time,,,
Mamuani Singh,"28_METE, 29_TEXE, 31_POLE",,,
Safique Devi,"02_CSAI, 32_BC, 35_BSC",,,
Surbhi Singh,"15_CHE, 16_BIOE, 25_FPT",,,
Rajith Pandey,Better luck next time,,,
Peeru Pandit,"02_CSAI, 32_BC, 35_BSC",,,
Sayma Sonkar,Better luck next time,,,
Nripendra Sonkar,"07_CSBS, 19_MECH, 27_DTE",,,
Dipty Thakur,"02_CSAI, 32_BC, 35_BSC",,,
Laiba Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Subodh Kumar Tiwari,"28_METE, 29_TEXE, 31_POLE",,,
Ratha Pandey,Better luck next time,,,
Davinder Pandit,"28_METE, 29_TEXE, 31_POLE",,,
Imran Khan Rao,"28_METE, 29_TEXE, 31_POLE",,,
Uday Singh Devi,Better luck next time,,,
Bikrom Maurrya,Better luck next time,,,
Somanath Thakur,"28_METE, 29_TEXE, 31_POLE",,,
Md Aamir Tiwari,"28_METE, 29_TEXE, 31_POLE",,,
Dindini Pandey,"28_METE, 29_TEXE, 31_POLE",,,
Aashish Kumar Rajput,"05_CSECS, 32_BC, 36_BSP",,,
Mdalam Kumar,"28_METE, 29_TEXE, 31_POLE",,,
Mohan Kumar Rao,"07_CSBS, 19_MECH, 27_DTE",,,
Hamidul Seth,"28_METE, 29_TEXE, 31_POLE",,,
Gaurav Singh Singh,Better luck next time,,,
Anadi Rai,Better luck next time,,,
साई Vishwakarma,Better luck next time,,,
Anandraj Singh,"05_CSECS, 32_BC, 36_BSP",,,
Ravi Ranjan Kumar,Better luck next time,,,
Jabin Seth,"04_CSR, 24_PROD, 13_CE",,,
Pravinsinh Pandey,"02_CSAI, 32_BC, 35_BSC",,,
Dhyanesh Mishra,Better luck next time,,,
Raseed Mishra,"28_METE, 29_TEXE, 31_POLE",,,
Altab Rajput,Better luck next time,,,
Jeeten Devi,"28_METE, 29_TEXE, 31_POLE",,,
Talib Khan Rao,"15_CHE, 16_BIOE, 25_FPT",,,
Surendera Maurrya,Better luck next time,,,
Gangadutt Seth,Better luck next time,,,
Balmiki Thakur,"07_CSBS, 19_MECH, 27_DTE",,,
Nayra Thakur,"28_METE, 29_TEXE, 31_POLE",,,
Gattu Yadav,Better luck next time,,,
Charuprabha Maurya,"28_METE, 29_TEXE, 31_POLE",,,
Shafiya Vishwakarma,Better luck next time,,,
Hrithik Rai,"02_CSAI, 32_BC, 35_BSC",,,
Appasaheb Thakur,"28_METE, 29_TEXE, 31_POLE",,,
Babu Bhai Mishra,"28_METE, 29_TEXE, 31_POLE",,,
Basith Divedi,Better luck next time,,,
Iyappan Singh,"28_METE, 29_TEXE, 31_POLE",,,
Chow Vishwakarma,"04_CSR, 24_PROD, 13_CE",,,
Shakti Devi,"28_METE, 29_TEXE, 31_POLE",,,
Mangilal Tiwari,"07_CSBS, 19_MECH, 27_DTE",,,
Puspalata Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Pyare Vishwakarma,"28_METE, 29_TEXE, 31_POLE",,,
Kalim Yadav,"28_METE, 29_TEXE, 31_POLE",,,
Davendra Rai,"07_CSBS, 19_MECH, 27_DTE",,,
राहूल Tiwari,Better luck next time,,,
Harkirat Sonkar,"07_CSBS, 19_MECH, 27_DTE",,,
Sahab Sonkar,Better luck next time,,,
Mahadevaswamy Rai,"28_METE, 29_TEXE, 31_POLE",,,
Bechar Sonkar,Better luck next time,,,
Biju Tiwari,"28_METE, 29_TEXE, 31_POLE",,,
Vikash Kumar Pratap,"07_CSBS, 19_MECH, 27_DTE",,,
Sakila Singh,Better luck next time,,,
Rehaan Rao,"09_ECE, 23_AEE, 26_AGRE",,,
Bhavu Sonkar,"07_CSBS, 19_MECH, 27_DTE",,,
Bhuru Srivastav,"04_CSR, 24_PROD, 13_CE",,,
Bedanta Gupta,"28_METE, 29_TEXE, 31_POLE",,,
Bibhishan Pratap,"05_CSECS, 32_BC, 36_BSP",,,
Mahuya Rai,Better luck next time,,,
Srikanth Vishwakarma,Better luck next time,,,
Antara Pratap,Better luck next time,,,
Abhigyan Thakur,"28_METE, 29_TEXE, 31_POLE",,,
Jagveer Yadav,Better luck next time,,,
Bishnu Prasad Sonkar,Better luck next time,,,
Tanaya Seth,Better luck next time,,,
Dharmadaas Maurrya,Better luck next time,,,
Sudharsan Srivastav,"05_CSECS, 32_BC, 36_BSP",,,
Daval Kumar,"28_METE, 29_TEXE, 31_POLE",,,
Sonmoni Rajput,"07_CSBS, 19_MECH, 27_DTE",,,
Shetal Vishwakarma,"05_CSECS, 32_BC, 36_BSP",,,
Vike Pandit,"02_CSAI, 32_BC, 35_BSC",,,
Rammilan Vishwakarma,Better luck next time,,,
Kondapalli Mishra,"07_CSBS, 19_MECH, 27_DTE",,,
Aavesh Tiwari,Better luck next time,,,
Aalim Rao,"07_CSBS, 19_MECH, 27_DTE",,,
Kamini Sonkar,"05_CSECS, 32_BC, 36_BSP",,,
Dipen Mishra,"15_CHE, 16_BIOE, 25_FPT",,,
Manaranjan Divedi,Better luck next time,,,
Krunal Kumar,"28_METE, 29_TEXE, 31_POLE",,,
