Student_Names,Study_Hours,Part_Time_Job,Math,Physics,Chemistry,Grade,Comment
Sudheer Pandey,8,Yes,86,53,76,B+,Good Pursuance
Talib Tiwari,10,No,100,83,100,A+,Excellent Performance
Salman Tiwari,5,Yes,45,39,54,D,Poor Pursuance
राधे Mishra,10,Yes,15,30,95,D,Poor Pursuance
Sangeetha Rai,1,Yes,37,83,86,B,Average Performance
Santosini Divedi,7,No,53,75,100,B+,Good Pursuance
Govind Kumar Pandey,7,No,81,63,77,B+,Good Pursuance
Sanjay Pandey,10,No,85,22,52,C,Below Average Achivement
Hemant Singh Rao,8,Yes,73,100,71,A,Very Good Achivement
Ahir Devi,3,Yes,84,93,62,B+,Good Pursuance
Sathik Rai,3,Yes,24,12,92,D,Poor Pursuance
Sikandr Sonkar,3,Yes,33,10,28,F,Failed
Deepi Rai,7,Yes,55,87,86,B+,Good Pursuance
Rajeah Vishwakarma,3,No,73,64,29,C,Below Average Achivement
Dayalu Rajput,6,Yes,61,28,22,D,Poor Pursuance
Jayparkash Yadav,7,Yes,33,46,25,D,Poor Pursuance
Istikhar Rajput,2,No,22,19,11,F,Failed
Lizza Rao,8,Yes,83,53,78,B+,Good Pursuance
Karunesh Divedi,6,No,41,99,37,C,Below Average Achivement
Tilak Vishwakarma,9,No,90,62,54,B,Average Performance
Dabu Rai,3,No,81,69,78,B+,Good Pursuance
Durges Pratap,3,No,84,32,17,D,Poor Pursuance
Afzal Divedi,9,Yes,40,36,15,F,Failed
Prinka Seth,7,No,60,33,44,D,Poor Pursuance
Vinod Singh Vishwakarma,7,Yes,64,48,19,D,Poor Pursuance
Saket Rajput,10,Yes,76,57,56,B,Average Performance
Rajip Vishwakarma,10,No,63,65,22,D,Poor Pursuance
Hrushi Mishra,10,Yes,83,50,30,C,Below Average Achivement
Nirmla Sonkar,1,Yes,23,30,68,D,Poor Pursuance
Alifiya Singh,2,No,76,89,27,B,Average Performance
Jhasketan Mishra,4,Yes,70,38,22,D,Poor Pursuance
Satvik Pandey,5,No,13,62,75,D,Poor Pursuance
Ruchir Maurrya,3,Yes,25,85,40,D,Poor Pursuance
Pot Thakur,10,Yes,22,23,59,D,Poor Pursuance
தளபதி Thakur,3,No,66,11,68,D,Poor Pursuance
Naik Srivastav,5,No,38,86,16,D,Poor Pursuance
Mangal Vishwakarma,7,Yes,24,86,98,B,Average Performance
Sharik Mishra,3,Yes,87,62,51,B,Average Performance
Apsar Kumar,1,No,39,30,28,F,Failed
Vishnu Singh Gupta,8,Yes,66,81,67,B+,Good Pursuance
Krishana Rajput,10,Yes,44,81,72,B,Average Performance
Arjun Raj Srivastav,2,Yes,75,23,25,D,Poor Pursuance
Mona Divedi,8,Yes,69,49,71,B,Average Performance
Kanchu Yadav,8,Yes,12,93,18,D,Poor Pursuance
Suroj Singh,3,Yes,88,63,97,A,Very Good Achivement
Jitesh Rao,4,No,17,16,24,F,Failed
Paresha Singh,9,Yes,22,33,12,F,Failed
Meren Sonkar,3,No,53,85,67,B,Average Performance
Md Sagir Rajput,8,Yes,63,74,66,B,Average Performance
Sharmistha Gupta,4,No,22,51,17,F,Failed
Kalpana Mishra,4,No,62,41,12,D,Poor Pursuance
Nekram Rai,7,No,72,53,31,C,Below Average Achivement
Pranab Jyoti Kumari,7,No,61,66,39,C,Below Average Achivement
Aleena Sonkar,1,No,54,46,88,B,Average Performance
Rd Vishwakarma,3,No,99,89,23,B,Average Performance
Suram Mishra,2,Yes,97,53,65,B+,Good Pursuance
Jigo Srivastav,10,Yes,19,59,71,D,Poor Pursuance
Vishu Vishwakarma,1,Yes,32,91,31,C,Below Average Achivement
Kale Pandey,9,No,68,15,61,D,Poor Pursuance
Chand Babu Rao,9,Yes,57,67,42,C,Below Average Achivement
Raushan Raj Tiwari,4,Yes,55,31,19,D,Poor Pursuance
Sawar Kumari,9,No,23,33,32,F,Failed
Subarna Gupta,4,No,97,21,65,B,Average Performance
Muniraj Rai,8,Yes,46,66,72,B,Average Performance
Shivi Sonkar,4,No,11,99,50,C,Below Average Achivement
Chinnasamy Seth,8,No,15,13,47,F,Failed
Parmanand Gupta,4,No,72,63,89,B+,Good Pursuance
Raghavan Rajput,6,Yes,35,57,38,D,Poor Pursuance
Halappa Rao,6,No,70,75,76,B+,Good Pursuance
लखन Rao,4,No,11,34,41,F,Failed
Gunnu Thakur,6,No,67,21,19,D,Poor Pursuance
Madhaw Sonkar,10,Yes,31,97,98,B+,Good Pursuance
Harishchand Pandey,7,No,98,18,49,C,Below Average Achivement
Maharaja Pratap,2,No,46,30,41,D,Poor Pursuance
Dhruvil Sonkar,4,No,67,94,97,A,Very Good Achivement
Ringkhang Srivastav,9,Yes,32,26,97,C,Below Average Achivement
Ramnandan Thakur,1,Yes,85,65,53,B,Average Performance
Kunja Srivastav,9,Yes,32,58,97,B,Average Performance
Ajayraj Pratap,6,Yes,42,43,78,C,Below Average Achivement
Aboli Divedi,4,No,42,64,58,C,Below Average Achivement
Fazlu Gupta,8,No,58,69,12,D,Poor Pursuance
Sahera Tiwari,7,No,87,62,69,B+,Good Pursuance
Palash Rajput,5,No,36,58,98,B,Average Performance
Satyajit Thakur,4,No,42,15,52,D,Poor Pursuance
Mantesh Divedi,8,No,42,33,100,C,Below Average Achivement
Ramachal Divedi,5,No,31,94,38,C,Below Average Achivement
Sahi Rajput,2,Yes,15,61,44,D,Poor Pursuance
Sukhbeer Rajput,7,No,33,80,64,C,Below Average Achivement
Mirajul Gupta,10,No,19,32,85,D,Poor Pursuance
Kulbhushan Divedi,7,Yes,80,92,85,A,Very Good Achivement
Bably Yadav,8,Yes,57,56,51,C,Below Average Achivement
Vishaka Yadav,5,No,66,86,87,B+,Good Pursuance
Dhanmani Divedi,10,No,13,79,34,D,Poor Pursuance
Vinod Yadav Seth,2,Yes,75,58,53,B,Average Performance
Ragini Vishwakarma,9,Yes,100,79,25,B,Average Performance
Sushanta Divedi,7,No,78,24,55,C,Below Average Achivement
Aariz Rai,10,Yes,93,78,56,B+,Good Pursuance
Muddassir Gupta,5,Yes,24,74,16,D,Poor Pursuance
Bachan Tiwari,3,No,19,93,33,D,Poor Pursuance
Imrankhan Rai,3,No,78,85,62,B+,Good Pursuance
Mithan Pandey,2,Yes,99,16,20,D,Poor Pursuance
Sohidul Seth,2,No,11,63,64,D,Poor Pursuance
Md Izhar Pandey,2,Yes,83,46,82,B,Average Performance
Kundan Raj Pratap,9,No,72,43,79,B,Average Performance
Aadit Rajput,4,No,75,93,61,B+,Good Pursuance
Narayanlal Maurrya,1,Yes,42,88,45,C,Below Average Achivement
Chitraketu Singh,3,No,43,10,72,D,Poor Pursuance
Maheshwari Kumar,1,Yes,91,36,11,D,Poor Pursuance
Bidisha Vishwakarma,3,Yes,73,79,32,B,Average Performance
Hmangaiha Devi,9,Yes,59,14,49,D,Poor Pursuance
Ponam Mishra,10,No,46,24,37,D,Poor Pursuance
Neyaz Tiwari,8,No,85,59,93,B+,Good Pursuance
Protima Rajput,7,No,62,81,46,B,Average Performance
Ramkishor Vishwakarma,6,No,71,47,36,C,Below Average Achivement
Dharma Sonkar,3,No,67,60,84,B,Average Performance
रवि कुमार Srivastav,3,No,67,89,63,B+,Good Pursuance
Jaganathan Yadav,4,Yes,17,21,80,D,Poor Pursuance
देविदास Tiwari,4,No,68,84,98,A,Very Good Achivement
Nanhelal Rajput,9,No,86,42,63,B,Average Performance
Guljar Divedi,9,No,75,86,60,B+,Good Pursuance
Shreeya Divedi,3,No,97,38,77,B,Average Performance
Aquil Seth,3,Yes,99,38,96,B+,Good Pursuance
Radhakishan Gupta,5,No,31,26,89,D,Poor Pursuance
Rambha Mishra,4,No,95,70,90,A,Very Good Achivement
Gulshad Vishwakarma,4,No,57,14,62,D,Poor Pursuance
Kamalkishor Pandit,10,No,33,55,27,D,Poor Pursuance
Pappu Singh Sonkar,10,Yes,51,71,35,C,Below Average Achivement
Riku Yadav,2,Yes,33,51,58,D,Poor Pursuance
Nilamani Srivastav,7,No,35,74,26,D,Poor Pursuance
Smrutiranjan Pandit,7,No,17,66,59,D,Poor Pursuance
Roshan Kumar Devi,8,Yes,34,88,26,D,Poor Pursuance
Prameela Maurya,3,No,34,57,30,D,Poor Pursuance
Shivangi Seth,8,No,75,52,16,D,Poor Pursuance
Sukharam Gupta,3,Yes,89,32,60,C,Below Average Achivement
Nihar Kumari,9,Yes,52,67,33,D,Poor Pursuance
Assu Sonkar,10,No,42,95,27,C,Below Average Achivement
Trinadh Sonkar,1,Yes,38,17,43,F,Failed
Dipeeka Divedi,9,No,32,75,42,D,Poor Pursuance
Dass Tiwari,1,No,75,94,52,B+,Good Pursuance
Shamser Rajput,2,Yes,88,40,18,D,Poor Pursuance
Sajan Kumar Seth,2,Yes,37,34,37,D,Poor Pursuance
Vedi Pandey,4,No,42,37,22,D,Poor Pursuance
Samaun Devi,8,Yes,61,28,91,C,Below Average Achivement
Bhaliya Mishra,9,No,95,96,71,A,Very Good Achivement
Manjula Yadav,3,No,53,63,27,D,Poor Pursuance
Sarvesh Kumar Pandit,8,Yes,23,76,70,C,Below Average Achivement
Asha Srivastav,4,No,65,47,46,C,Below Average Achivement
Rajjan Seth,4,Yes,73,14,14,D,Poor Pursuance
Savara Devi,1,Yes,94,43,19,C,Below Average Achivement
Tohit Pandit,2,No,83,64,47,B,Average Performance
Jeevitha Divedi,6,No,55,86,99,B+,Good Pursuance
Irshad Rajput,3,Yes,65,59,17,D,Poor Pursuance
Anu Vishwakarma,1,No,27,73,10,D,Poor Pursuance
Mursid Tiwari,5,Yes,90,75,49,B+,Good Pursuance
Prafula Thakur,6,No,96,39,26,C,Below Average Achivement
Rambahadur Kumar,7,Yes,48,38,99,B,Average Performance
Krish Rao,8,Yes,92,15,28,D,Poor Pursuance
Urvi Singh,2,Yes,61,77,54,B,Average Performance
Parvat Kumar,2,Yes,94,29,19,D,Poor Pursuance
Jivan Rai,3,Yes,36,71,75,C,Below Average Achivement
Shobhna Rai,10,No,96,96,65,A,Very Good Achivement
Snjay Vishwakarma,4,No,91,69,32,B,Average Performance
Kola Srivastav,8,No,82,54,36,C,Below Average Achivement
Marees Thakur,3,Yes,89,85,100,A+,Excellent Performance
Giridhar Mishra,4,No,23,55,20,F,Failed
Sujeet Kumari,7,Yes,48,18,91,C,Below Average Achivement
Sharana Singh,9,Yes,89,21,70,C,Below Average Achivement
Hem Raj Pandit,9,No,33,29,27,F,Failed
Daevi Maurya,4,Yes,35,38,55,D,Poor Pursuance
Md Faizan Pandey,2,No,83,42,57,C,Below Average Achivement
Satheeshkumar Kumari,3,Yes,54,54,82,B,Average Performance
Tejsingh Sonkar,5,Yes,59,21,84,C,Below Average Achivement
Suranjan Pandit,6,Yes,91,74,80,A,Very Good Achivement
Yash Raj Kumari,9,Yes,83,98,47,B+,Good Pursuance
Yamanappa Rai,3,No,92,55,56,B,Average Performance
Amlesh Tiwari,3,No,51,92,22,C,Below Average Achivement
Appy Pandey,6,Yes,71,21,60,D,Poor Pursuance
Subrahmanyam Singh,5,Yes,69,23,35,D,Poor Pursuance
Bind Rao,1,Yes,90,89,14,B,Average Performance
Samima Kumar,3,No,78,74,63,B+,Good Pursuance
Shrusti Rajput,8,Yes,46,66,45,C,Below Average Achivement
Konkana Singh,1,No,73,57,85,B+,Good Pursuance
Bhagyaraj Mishra,2,No,46,51,90,B,Average Performance
Jayadev Rao,7,No,81,64,16,C,Below Average Achivement
Govinda Singh,10,Yes,33,99,47,C,Below Average Achivement
Gourishankar Gupta,8,No,14,37,37,F,Failed
Inamul Rai,5,No,72,41,24,D,Poor Pursuance
Tanisha Sonkar,1,No,85,58,72,B+,Good Pursuance
Devji Thakur,9,No,40,69,68,C,Below Average Achivement
Chandidaas Gupta,8,No,64,87,76,B+,Good Pursuance
Reyansh Thakur,6,No,15,56,61,D,Poor Pursuance
Lakshan Vishwakarma,8,No,73,86,14,C,Below Average Achivement
Akbor Singh,7,Yes,39,28,15,F,Failed
Ravneet Pratap,5,No,80,37,62,C,Below Average Achivement
Khemu Gupta,1,Yes,59,68,36,C,Below Average Achivement
Bhagbat Divedi,8,Yes,85,13,60,C,Below Average Achivement
Roshid Mishra,7,Yes,77,65,60,B,Average Performance
Rifa Vishwakarma,4,No,79,92,59,B+,Good Pursuance
Paras Thakur,3,No,22,25,55,D,Poor Pursuance
Dewendra Gupta,2,No,89,77,26,B,Average Performance
Roma Yadav,4,Yes,90,88,16,B,Average Performance
Pragati Singh,10,Yes,70,90,11,C,Below Average Achivement
Alagu Gupta,3,Yes,43,48,10,D,Poor Pursuance
રાજેશ Kumar,6,No,56,23,27,D,Poor Pursuance
Chetanaanand Devi,4,No,84,63,21,C,Below Average Achivement
Yudhisthir Divedi,7,No,16,68,69,C,Below Average Achivement
Bhausaheb Seth,9,No,74,27,54,C,Below Average Achivement
Prayag Pandey,9,No,42,33,65,D,Poor Pursuance
Lavanya Pandey,10,Yes,52,96,40,B,Average Performance
Chitrada Sonkar,6,No,75,11,95,C,Below Average Achivement
Rupnarayan Singh,8,Yes,96,44,56,B,Average Performance
Parma Gupta,3,Yes,25,66,99,B,Average Performance
पुजा Sonkar,4,No,42,56,62,C,Below Average Achivement
Tabu Divedi,6,Yes,89,42,45,C,Below Average Achivement
Chakali Maurrya,2,Yes,30,71,81,C,Below Average Achivement
Malti Singh,2,Yes,53,84,42,C,Below Average Achivement
Rabbani Singh,2,Yes,86,63,15,C,Below Average Achivement
Sanjay Singh,2,Yes,73,52,36,C,Below Average Achivement
Pankajini Divedi,7,Yes,36,48,32,D,Poor Pursuance
Shyama Rajput,3,No,79,82,56,B+,Good Pursuance
Hapijul Divedi,3,No,58,75,13,D,Poor Pursuance
Ashadul Pratap,8,Yes,39,79,90,B,Average Performance
Saminathan Divedi,10,No,26,27,72,D,Poor Pursuance
Padmanav Rajput,8,No,24,66,54,D,Poor Pursuance
Tarh Gupta,9,No,92,25,86,B,Average Performance
Shivshankar Rai,5,No,47,100,78,B+,Good Pursuance
Munmi Singh,6,No,47,61,87,B,Average Performance
Md Kasim Srivastav,6,Yes,70,58,96,B+,Good Pursuance
Sagun Singh,8,No,42,84,97,B+,Good Pursuance
Hasmat Kumari,2,Yes,56,58,62,C,Below Average Achivement
Roopsingh Pandey,1,No,22,49,41,D,Poor Pursuance
Pyush Maurrya,9,Yes,78,72,57,B,Average Performance
Asifkhan Gupta,4,Yes,10,81,94,B,Average Performance
Yogesha Thakur,2,Yes,20,85,92,B,Average Performance
Ramandeep Seth,6,No,49,72,26,D,Poor Pursuance
Rajbha Pandit,2,Yes,84,100,67,A,Very Good Achivement
Seetu Gupta,9,No,23,30,37,F,Failed
Ato Rajput,2,No,68,15,40,D,Poor Pursuance
Eslavath Pratap,9,Yes,21,64,36,D,Poor Pursuance
Yudhishtar Sonkar,2,No,61,74,28,C,Below Average Achivement
Santhi Kumar,10,Yes,33,54,61,D,Poor Pursuance
Afiya Pratap,6,Yes,80,24,99,B,Average Performance
Rajashree Rajput,8,No,52,96,52,B,Average Performance
Ramzan Mishra,8,Yes,84,75,56,B+,Good Pursuance
Ram Jee Divedi,7,No,78,85,87,A,Very Good Achivement
Biram Singh,5,Yes,96,39,89,B+,Good Pursuance
Sakthivel Rai,2,Yes,53,29,57,D,Poor Pursuance
Yogita Seth,3,No,71,83,82,B+,Good Pursuance
बाळासाहेब Rajput,5,Yes,29,50,87,C,Below Average Achivement
Rupen Maurrya,10,Yes,100,14,71,B,Average Performance
Minni Kumari,10,No,45,52,37,D,Poor Pursuance
Hminga Maurya,9,No,67,81,99,A,Very Good Achivement
Zara Khan Maurya,10,No,80,60,40,C,Below Average Achivement
Mosaraf Sonkar,10,Yes,51,56,36,D,Poor Pursuance
Chaitali Mishra,6,Yes,70,43,25,D,Poor Pursuance
Ishwar Singh Maurrya,3,Yes,42,23,92,C,Below Average Achivement
Rup Yadav,5,Yes,96,97,35,B+,Good Pursuance
Dhan Kumar,5,Yes,16,14,21,F,Failed
Durganand Maurya,3,Yes,31,65,91,B,Average Performance
H P Gupta,5,No,57,76,36,C,Below Average Achivement
Sanjiv Kumar Mishra,4,Yes,32,98,86,B+,Good Pursuance
Vikaram Rao,8,No,75,23,20,D,Poor Pursuance
Bithika Vishwakarma,5,No,41,31,87,C,Below Average Achivement
Shafi Rao,1,No,14,81,81,C,Below Average Achivement
Er Rahul Gupta,9,No,67,63,99,B+,Good Pursuance
Saurabh Kumar Seth,3,Yes,36,62,35,D,Poor Pursuance
Sddam Kumari,6,No,80,12,91,B,Average Performance
Haradhan Mishra,3,No,93,53,84,B+,Good Pursuance
Jayalaxmi Rajput,1,No,89,90,50,B+,Good Pursuance
Mahie Vishwakarma,1,Yes,49,36,93,C,Below Average Achivement
Athing Kumar,1,Yes,20,52,35,D,Poor Pursuance
Salai Sonkar,5,Yes,80,83,66,B+,Good Pursuance
Maddela Divedi,7,No,84,97,50,B+,Good Pursuance
Prawin Gupta,1,Yes,49,16,49,D,Poor Pursuance
Devsingh Singh,1,No,21,48,60,D,Poor Pursuance
Tejan Maurrya,1,Yes,82,24,19,D,Poor Pursuance
Girdharilal Sonkar,6,Yes,12,12,35,F,Failed
Shadik Singh,3,Yes,58,77,88,B+,Good Pursuance
Navab Pratap,6,Yes,70,27,28,D,Poor Pursuance
विनय Rai,10,No,95,36,32,C,Below Average Achivement
Variya Pandey,10,No,39,82,54,C,Below Average Achivement
Tisha Pratap,3,No,83,68,18,C,Below Average Achivement
Hunter Seth,1,Yes,61,63,100,B+,Good Pursuance
Munchun Rai,10,Yes,48,53,33,D,Poor Pursuance
Piryanka Seth,1,No,11,53,24,F,Failed
Nabal Divedi,4,Yes,39,95,47,C,Below Average Achivement
Utpal Rao,9,No,37,30,29,F,Failed
Afzal Khan Rao,8,No,64,49,51,C,Below Average Achivement
Rathan Gupta,8,Yes,97,62,70,B+,Good Pursuance
Sonju Seth,9,No,36,26,43,D,Poor Pursuance
Devendar Vishwakarma,8,No,29,78,79,B,Average Performance
Shailendra Singh Rai,4,Yes,11,90,75,C,Below Average Achivement
Jyotirmoy Yadav,5,No,46,39,90,C,Below Average Achivement
Jogeswar Yadav,5,No,22,45,62,D,Poor Pursuance
Vindhyachal Rai,4,No,42,45,30,D,Poor Pursuance
Mohd Divedi,4,Yes,11,45,98,C,Below Average Achivement
Eshu Rajput,4,No,45,97,87,B+,Good Pursuance
Sarup Seth,2,Yes,13,47,54,D,Poor Pursuance
Alom Tiwari,1,Yes,13,48,88,D,Poor Pursuance
Narayan Kumar Tiwari,2,No,58,52,64,C,Below Average Achivement
Shivpratap Thakur,8,No,38,32,47,D,Poor Pursuance
Pradeep Rai,2,Yes,17,35,39,F,Failed
Purobi Rao,1,No,94,84,29,B,Average Performance
Samiran Singh,6,Yes,80,45,26,D,Poor Pursuance
ईरफान Singh,2,No,59,62,60,C,Below Average Achivement
Saifali Maurya,10,No,92,95,83,A,Very Good Achivement
Dilkash Yadav,8,Yes,60,96,68,B+,Good Pursuance
Perumal Kumari,6,No,82,29,81,B,Average Performance
Peetam Rao,6,Yes,56,88,88,B+,Good Pursuance
Meru Rai,6,No,39,100,46,B,Average Performance
Shivnandan Pratap,1,No,19,29,82,D,Poor Pursuance
Shamita Sonkar,8,No,48,72,51,C,Below Average Achivement
Sanib Srivastav,9,Yes,99,14,21,D,Poor Pursuance
Ritumoni Singh,7,Yes,40,97,87,B+,Good Pursuance
Kundan Singh Rai,9,Yes,56,43,31,D,Poor Pursuance
Atharv Sonkar,6,No,72,28,30,D,Poor Pursuance
Ganapati Rai,8,No,97,79,46,B+,Good Pursuance
Satyabrat Pandey,2,No,27,82,99,B,Average Performance
Pardum Mishra,1,Yes,74,52,70,B,Average Performance
Bitan Srivastav,6,No,27,39,94,C,Below Average Achivement
Madev Tiwari,2,Yes,56,87,94,B+,Good Pursuance
Mdalam Pandey,4,No,48,57,33,D,Poor Pursuance
Bavya Yadav,4,No,40,83,31,C,Below Average Achivement
Gurjar Yadav,4,Yes,77,84,24,B,Average Performance
Jaykumar Tiwari,10,Yes,92,50,28,C,Below Average Achivement
Singar Thakur,4,No,96,18,52,C,Below Average Achivement
Ramhari Devi,8,Yes,65,61,40,C,Below Average Achivement
Pritam Singh Seth,7,No,27,46,49,D,Poor Pursuance
Runali Singh,7,No,81,75,47,B,Average Performance
Thartei Kumari,1,No,28,57,26,D,Poor Pursuance
Ayansh Yadav,8,No,32,11,35,F,Failed
Venod Srivastav,10,No,83,99,24,B,Average Performance
Bhima Mishra,8,Yes,11,83,51,D,Poor Pursuance
Shreedhar Kumari,5,Yes,12,64,78,C,Below Average Achivement
Rupa Kumari Thakur,9,No,54,94,57,B,Average Performance
Shiekh Maurya,4,No,31,34,83,D,Poor Pursuance
Sweeti Singh,2,No,64,36,27,D,Poor Pursuance
Sathyaraj Thakur,4,Yes,22,29,24,F,Failed
Grish Pandit,1,No,87,84,84,A,Very Good Achivement
S Khan Rajput,2,Yes,77,63,43,B,Average Performance
Keran Singh,1,No,87,32,24,D,Poor Pursuance
Mahaveer Singh Mishra,9,Yes,52,12,24,F,Failed
Bhupendr Srivastav,6,Yes,68,13,13,F,Failed
Peeyush Sonkar,3,No,16,48,13,F,Failed
Boddu Sonkar,2,No,59,55,89,B,Average Performance
Mandavi Thakur,4,No,37,62,10,D,Poor Pursuance
Boopalan Rai,4,No,19,40,39,F,Failed
Pranjul Rao,2,Yes,12,88,53,C,Below Average Achivement
Jenisha Divedi,5,Yes,10,46,72,D,Poor Pursuance
Labh Sonkar,10,No,66,92,63,B+,Good Pursuance
Sarathi Mishra,9,Yes,79,34,93,B,Average Performance
Pushpraj Devi,9,No,68,21,88,C,Below Average Achivement
Bhaanu Pandey,7,Yes,21,80,71,C,Below Average Achivement
Jyotirmoy Sonkar,6,Yes,41,56,90,B,Average Performance
Jenis Sonkar,1,Yes,90,93,97,A+,Excellent Performance
Sawan Pratap,1,Yes,15,77,68,C,Below Average Achivement
Bhavi Gupta,9,No,45,68,58,C,Below Average Achivement
Apa Gupta,5,Yes,77,47,16,D,Poor Pursuance
Lakshmikant Maurrya,7,No,91,59,17,C,Below Average Achivement
Veru Pandey,9,No,44,73,95,B,Average Performance
Subesh Divedi,8,No,24,77,50,D,Poor Pursuance
Sukhdeep Kumar,8,Yes,38,28,69,D,Poor Pursuance
Makbul Maurya,3,No,78,49,25,D,Poor Pursuance
Subba Pratap,2,No,35,60,71,C,Below Average Achivement
Saba Gupta,3,No,17,22,20,F,Failed
Saddik Pandey,1,No,97,67,95,A,Very Good Achivement
Robiul Kumar,8,Yes,18,18,84,D,Poor Pursuance
Gorelal Mishra,10,No,71,47,16,D,Poor Pursuance
Tarulata Tiwari,8,Yes,87,30,56,C,Below Average Achivement
Madhvi Srivastav,9,Yes,28,61,43,D,Poor Pursuance
Er Abhishek Vishwakarma,10,Yes,57,68,15,D,Poor Pursuance
Guddoo Rao,5,No,97,31,52,C,Below Average Achivement
Usman Maurrya,2,Yes,41,86,48,C,Below Average Achivement
Sumeet Rajput,3,No,71,78,68,B+,Good Pursuance
Banty Mishra,7,No,37,38,50,D,Poor Pursuance
Jhalak Pandey,10,Yes,46,29,60,D,Poor Pursuance
Anil Raj Kumar,7,No,76,20,70,C,Below Average Achivement
Sudarshan Sonkar,7,No,97,37,28,C,Below Average Achivement
Gyanaranjan Rai,6,No,80,57,79,B+,Good Pursuance
Harji Mishra,8,Yes,89,57,49,B,Average Performance
सुरेन्द्र Yadav,6,No,97,84,22,B,Average Performance
Chandan Seth,9,Yes,32,57,43,D,Poor Pursuance
Mamuani Singh,6,Yes,54,90,28,C,Below Average Achivement
Safique Devi,10,No,71,85,66,B+,Good Pursuance
Surbhi Singh,3,Yes,86,76,98,A,Very Good Achivement
Rajith Pandey,4,No,11,22,22,F,Failed
Peeru Pandit,1,No,51,100,70,B+,Good Pursuance
Sayma Sonkar,7,No,43,32,37,D,Poor Pursuance
Nripendra Sonkar,5,No,92,81,10,B,Average Performance
Dipty Thakur,6,Yes,93,49,78,B+,Good Pursuance
Laiba Yadav,8,Yes,37,24,99,C,Below Average Achivement
Subodh Kumar Tiwari,10,Yes,28,79,52,C,Below Average Achivement
Ratha Pandey,4,No,51,73,21,D,Poor Pursuance
Davinder Pandit,4,Yes,75,42,64,C,Below Average Achivement
Imran Khan Rao,9,Yes,25,90,42,C,Below Average Achivement
Uday Singh Devi,5,Yes,46,22,46,D,Poor Pursuance
Bikrom Maurrya,5,Yes,41,31,24,F,Failed
Somanath Thakur,3,No,57,86,19,C,Below Average Achivement
Md Aamir Tiwari,7,Yes,59,76,41,C,Below Average Achivement
Dindini Pandey,9,Yes,12,94,56,C,Below Average Achivement
Aashish Kumar Rajput,1,No,93,70,66,B+,Good Pursuance
Mdalam Kumar,6,No,30,88,35,C,Below Average Achivement
Mohan Kumar Rao,7,No,50,99,42,B,Average Performance
Hamidul Seth,9,No,64,78,20,C,Below Average Achivement
Gaurav Singh Singh,4,No,43,66,25,D,Poor Pursuance
Anadi Rai,5,Yes,53,11,10,F,Failed
साई Vishwakarma,5,Yes,37,38,19,F,Failed
Anandraj Singh,1,Yes,56,97,78,B+,Good Pursuance
Ravi Ranjan Kumar,1,No,33,16,85,D,Poor Pursuance
Jabin Seth,3,Yes,31,82,86,B,Average Performance
Pravinsinh Pandey,4,No,84,59,77,B+,Good Pursuance
Dhyanesh Mishra,6,Yes,59,42,44,D,Poor Pursuance
Raseed Mishra,1,No,35,83,44,C,Below Average Achivement
Altab Rajput,3,No,28,18,26,F,Failed
Jeeten Devi,4,No,41,84,34,C,Below Average Achivement
Talib Khan Rao,1,No,81,98,76,A,Very Good Achivement
Surendera Maurrya,6,Yes,37,79,19,D,Poor Pursuance
Gangadutt Seth,7,No,27,37,72,D,Poor Pursuance
Balmiki Thakur,6,No,24,90,73,B,Average Performance
Nayra Thakur,6,Yes,87,29,54,C,Below Average Achivement
Gattu Yadav,3,Yes,81,25,37,D,Poor Pursuance
Charuprabha Maurya,6,Yes,61,69,25,C,Below Average Achivement
Shafiya Vishwakarma,6,Yes,48,91,10,D,Poor Pursuance
Hrithik Rai,10,No,62,79,80,B+,Good Pursuance
Appasaheb Thakur,10,Yes,12,79,69,C,Below Average Achivement
Babu Bhai Mishra,9,No,88,46,31,C,Below Average Achivement
Basith Divedi,10,Yes,67,16,36,D,Poor Pursuance
Iyappan Singh,7,No,41,53,82,C,Below Average Achivement
Chow Vishwakarma,5,Yes,67,85,46,B,Average Performance
Shakti Devi,1,No,87,45,26,C,Below Average Achivement
Mangilal Tiwari,9,Yes,74,51,68,B,Average Performance
Puspalata Yadav,3,No,69,60,52,C,Below Average Achivement
Pyare Vishwakarma,6,Yes,84,26,72,C,Below Average Achivement
Kalim Yadav,6,Yes,47,64,67,C,Below Average Achivement
Davendra Rai,3,No,71,66,50,B,Average Performance
राहूल Tiwari,10,Yes,11,72,59,D,Poor Pursuance
Harkirat Sonkar,8,Yes,43,65,85,B,Average Performance
Sahab Sonkar,4,No,88,21,41,D,Poor Pursuance
Mahadevaswamy Rai,9,No,40,38,97,C,Below Average Achivement
Bechar Sonkar,10,No,93,93,86,A,Very Good Achivement
Biju Tiwari,7,Yes,65,84,31,C,Below Average Achivement
Vikash Kumar Pratap,4,Yes,37,61,93,B,Average Performance
Sakila Singh,3,No,10,51,51,D,Poor Pursuance
Rehaan Rao,2,Yes,78,90,80,A,Very Good Achivement
Bhavu Sonkar,8,Yes,49,100,36,B,Average Performance
Bhuru Srivastav,1,No,53,66,77,B,Average Performance
Bedanta Gupta,10,Yes,39,85,35,C,Below Average Achivement
Bibhishan Pratap,9,Yes,80,89,56,B+,Good Pursuance
Mahuya Rai,3,Yes,36,55,27,D,Poor Pursuance
